"Time","MASSFLOW"
2021-03-10 06:00:37,584
2021-03-10 06:01:37,631
2021-03-10 06:02:38,664
2021-03-10 06:03:38,733
2021-03-10 06:04:38,811
2021-03-10 06:05:38,901
2021-03-10 06:06:38,1026
2021-03-10 06:07:38,1084
2021-03-10 06:08:38,1185
2021-03-10 06:09:38,1251
2021-03-10 06:10:38,1349
2021-03-10 06:11:38,1398
2021-03-10 06:12:39,1472
2021-03-10 06:13:39,1525
2021-03-10 06:14:39,1577
2021-03-10 06:15:39,1619
2021-03-10 06:16:39,1643
2021-03-10 06:17:39,1656
2021-03-10 06:18:39,1655
2021-03-10 06:19:39,1656
2021-03-10 06:20:39,1661
2021-03-10 06:21:40,1664
2021-03-10 06:22:40,1662
2021-03-10 06:23:40,1661
2021-03-10 06:24:40,1655
2021-03-10 06:25:40,1642
2021-03-10 06:26:40,1624
2021-03-10 06:27:40,1612
2021-03-10 06:28:40,1606
2021-03-10 06:29:41,1593
2021-03-10 06:30:41,1582
2021-03-10 06:31:41,1572
2021-03-10 06:32:41,1561
2021-03-10 06:33:41,1553
2021-03-10 06:34:41,1542
2021-03-10 06:35:41,1534
2021-03-10 06:36:41,1529
2021-03-10 06:37:41,1526
2021-03-10 06:38:41,1529
2021-03-10 06:39:42,1533
2021-03-10 06:40:42,1534
2021-03-10 06:41:42,1532
2021-03-10 06:42:42,1534
2021-03-10 06:43:42,1543
2021-03-10 06:44:42,1548
2021-03-10 06:45:42,1550
2021-03-10 06:46:42,1548
2021-03-10 06:47:42,1542
2021-03-10 06:48:43,1534
2021-03-10 06:49:43,1526
2021-03-10 06:50:43,1513
2021-03-10 06:51:43,1503
2021-03-10 06:52:43,1490
2021-03-10 06:53:43,1475
2021-03-10 06:54:43,1456
2021-03-10 06:55:43,1442
2021-03-10 06:56:44,1424
2021-03-10 06:57:44,1408
2021-03-10 06:58:44,1392
2021-03-10 06:59:44,1380
2021-03-10 07:00:44,1363
2021-03-10 07:01:44,1364
2021-03-10 07:02:44,1363
2021-03-10 07:03:44,1362
2021-03-10 07:04:44,1361
2021-03-10 07:05:45,1368
2021-03-10 07:06:45,1376
2021-03-10 07:07:45,1387
2021-03-10 07:08:45,1398
2021-03-10 07:09:45,1408
2021-03-10 07:10:45,1417
2021-03-10 07:11:45,1419
2021-03-10 07:12:45,1424
2021-03-10 07:13:45,1430
2021-03-10 07:14:46,1435
2021-03-10 07:15:46,1436
2021-03-10 07:16:46,1427
2021-03-10 07:17:46,1418
2021-03-10 07:18:46,1414
