"Time","MASSFLOW"
2021-03-10 06:00:51,4701
2021-03-10 06:01:52,4785
2021-03-10 06:02:52,4968
2021-03-10 06:03:52,5227
2021-03-10 06:04:52,5472
2021-03-10 06:05:52,5822
2021-03-10 06:06:52,6081
2021-03-10 06:07:52,6188
2021-03-10 06:08:53,6612
2021-03-10 06:09:53,6927
2021-03-10 06:10:53,7142
2021-03-10 06:11:53,7357
2021-03-10 06:12:53,7722
2021-03-10 06:13:53,7952
2021-03-10 06:14:53,8094
2021-03-10 06:15:53,8280
2021-03-10 06:16:53,8504
2021-03-10 06:17:54,8573
2021-03-10 06:18:54,8486
2021-03-10 06:19:54,8484
2021-03-10 06:20:54,8582
2021-03-10 06:21:54,8593
2021-03-10 06:22:54,8449
2021-03-10 06:23:54,8397
2021-03-10 06:24:54,8364
2021-03-10 06:25:54,8174
2021-03-10 06:26:55,8126
2021-03-10 06:27:55,8120
2021-03-10 06:28:55,8113
2021-03-10 06:29:55,8107
2021-03-10 06:30:55,8146
2021-03-10 06:31:55,8126
2021-03-10 06:32:55,8089
2021-03-10 06:33:55,8066
2021-03-10 06:34:56,8086
2021-03-10 06:35:56,8116
2021-03-10 06:36:56,7962
2021-03-10 06:37:56,8097
2021-03-10 06:38:56,8051
2021-03-10 06:39:56,7985
2021-03-10 06:40:56,8044
2021-03-10 06:41:56,8093
2021-03-10 06:42:56,8113
2021-03-10 06:43:57,8155
2021-03-10 06:44:57,8165
2021-03-10 06:45:57,8133
2021-03-10 06:46:57,8141
2021-03-10 06:47:57,8103
2021-03-10 06:48:57,8115
2021-03-10 06:49:57,8194
2021-03-10 06:50:57,8087
2021-03-10 06:51:57,8037
2021-03-10 06:52:57,7996
2021-03-10 06:53:58,8009
2021-03-10 06:54:58,7866
2021-03-10 06:55:58,7939
2021-03-10 06:56:58,8001
2021-03-10 06:57:58,7758
2021-03-10 06:58:58,7679
2021-03-10 06:59:58,7541
2021-03-10 07:00:58,7492
2021-03-10 07:01:59,7561
2021-03-10 07:02:59,7593
2021-03-10 07:03:59,7593
2021-03-10 07:04:59,7707
2021-03-10 07:05:59,7653
