"Time","MASSFLOW"
2021-05-15 06:00:46,2509
2021-05-15 06:01:46,2509
2021-05-15 06:02:47,2513
2021-05-15 06:03:47,2513
2021-05-15 06:04:47,2514
2021-05-15 06:05:47,2514
2021-05-15 06:06:47,2519
2021-05-15 06:07:47,2531
2021-05-15 06:08:47,2553
2021-05-15 06:09:48,2576
2021-05-15 06:10:48,2601
2021-05-15 06:11:48,2601
2021-05-15 06:12:48,2643
2021-05-15 06:13:48,2685
2021-05-15 06:14:48,2720
2021-05-15 06:15:48,2743
2021-05-15 06:16:48,2743
2021-05-15 06:17:49,2758
2021-05-15 06:18:49,2762
2021-05-15 06:19:49,2758
2021-05-15 06:20:49,2734
2021-05-15 06:21:49,2734
2021-05-15 06:22:49,2710
2021-05-15 06:23:50,2686
2021-05-15 06:24:50,2662
2021-05-15 06:25:50,2662
2021-05-15 06:26:50,2647
2021-05-15 06:27:50,2636
2021-05-15 06:28:50,2643
2021-05-15 06:29:50,2638
2021-05-15 06:30:50,2638
2021-05-15 06:31:51,2637
2021-05-15 06:32:51,2633
2021-05-15 06:33:51,2638
2021-05-15 06:34:51,2647
2021-05-15 06:35:51,2647
2021-05-15 06:36:51,2657
2021-05-15 06:37:51,2670
2021-05-15 06:38:51,2687
2021-05-15 06:39:52,2693
2021-05-15 06:40:52,2710
2021-05-15 06:41:52,2710
2021-05-15 06:42:52,2731
2021-05-15 06:43:52,2748
2021-05-15 06:44:52,2759
2021-05-15 06:45:53,2766
2021-05-15 06:46:53,2778
2021-05-15 06:47:53,2778
2021-05-15 06:48:53,2781
2021-05-15 06:49:53,2784
2021-05-15 06:50:53,2787
2021-05-15 06:51:53,2795
2021-05-15 06:52:53,2798
2021-05-15 06:53:54,2798
2021-05-15 06:54:54,2803
2021-05-15 06:55:54,2804
2021-05-15 06:56:54,2805
2021-05-15 06:57:54,2794
2021-05-15 06:58:54,2794
2021-05-15 06:59:54,2763
2021-05-15 07:00:55,2763
2021-05-15 07:01:55,2718
2021-05-15 07:02:55,2617
2021-05-15 07:03:55,2617
2021-05-15 07:04:55,2523
2021-05-15 07:05:55,2523
2021-05-15 07:06:55,2335
2021-05-15 07:07:56,2335
2021-05-15 07:08:56,2189
2021-05-15 07:09:56,2189
2021-05-15 07:10:56,2055
2021-05-15 07:11:56,2055
2021-05-15 07:12:56,1937
2021-05-15 07:13:57,1937
2021-05-15 07:14:57,1855
2021-05-15 07:15:57,1855
2021-05-15 07:16:57,1795
2021-05-15 07:17:57,1779
2021-05-15 07:18:57,1779
2021-05-15 07:19:57,1799
2021-05-15 07:20:58,1799
2021-05-15 07:21:58,1821
2021-05-15 07:22:58,1821
2021-05-15 07:23:58,1840
2021-05-15 07:24:58,1840
2021-05-15 07:25:58,1848
2021-05-15 07:26:58,1848
2021-05-15 07:27:58,1846
2021-05-15 07:28:59,1846
2021-05-15 07:29:59,1826
2021-05-15 07:30:59,1826
2021-05-15 07:31:59,1783
2021-05-15 07:32:59,1783
2021-05-15 07:34:00,1751
2021-05-15 07:35:00,1751
2021-05-15 07:36:00,1728
2021-05-15 07:37:00,1728
