Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1620016238.171809,1651.125,46485.0,5.0,5000.0,0.034
1620016240.792041,1651.125,46485.0,5.0,5000.0,0.046
1620016243.385298,1651.4998779296875,46486.0,5.0,5000.0,0.044
1620016245.989154,1651.125,46486.0,5.0,5000.0,0.059
1620016248.583263,1651.125,46487.0,5.0,5000.0,0.059
1620016251.180355,1651.125,46487.0,5.0,5000.0,0.073
1620016253.778262,1651.125,46488.0,5.0,5000.0,0.073
1620016256.373015,1651.125,46488.0,5.0,5000.0,0.086
1620016258.968118,1651.4998779296875,46489.0,5.0,5000.0,0.086
1620016261.566802,1651.125,46489.0,5.0,5000.0,0.099
1620016264.157903,1651.125,46490.0,5.0,5000.0,0.098
1620016266.776522,1651.125,46491.0,5.0,5000.0,0.111
1620016269.405713,1651.125,46491.0,5.0,5000.0,0.112
1620016272.005347,1651.125,46492.0,5.0,5000.0,0.125
1620016274.603277,1651.125,46492.0,5.0,5000.0,0.125
1620016277.196971,1651.125,46493.0,5.0,5000.0,0.137
1620016279.79963,1651.125,46493.0,5.0,5000.0,0.138
1620016282.39612,1651.125,46494.0,5.0,5000.0,0.151
1620016284.988216,1651.125,46494.0,5.0,5000.0,0.172
1620016287.584225,1651.125,46495.0,5.0,5000.0,0.164
1620016290.182413,1650.75,46495.0,5.0,5000.0,0.178
1620016292.785677,1650.75,46496.0,5.0,5000.0,0.178
1620016295.37841,1651.125,46496.0,5.0,5000.0,0.192
1620016297.978654,1650.75,46497.0,5.0,5000.0,0.191
1620016300.575516,1650.75,46497.0,5.0,5000.0,0.204
1620016303.175382,1651.125,46498.0,5.0,5000.0,0.204
1620016305.769636,1650.75,46498.0,5.0,5000.0,0.218
1620016308.36714,1650.75,46499.0,5.0,5000.0,0.218
1620016310.960347,1650.75,46499.0,5.0,5000.0,0.231
1620016313.55564,1650.75,46500.0,5.0,5000.0,0.231
1620016316.157786,1650.75,46500.0,5.0,5000.0,0.243
1620016318.782164,1650.75,46501.0,5.0,5000.0,0.243
1620016321.401891,1650.75,46501.0,5.0,5000.0,0.258
1620016323.994696,1650.75,46502.0,5.0,5000.0,0.258
1620016326.589757,1650.75,46502.0,5.0,5000.0,0.271
1620016329.194297,1650.75,46503.0,5.0,5000.0,0.27
1620016331.789044,1650.75,46504.0,5.0,5000.0,0.283
1620016334.382537,1650.75,46504.0,5.0,5000.0,0.283
1620016336.981134,1650.375,46505.0,5.0,5000.0,0.296
1620016339.579989,1650.375,46505.0,5.0,5000.0,0.296
1620016342.176848,1650.375,46506.0,5.0,5000.0,0.309
1620016344.801213,1650.75,46506.0,5.0,5000.0,0.362
1620016347.420548,1650.75,46507.0,5.0,5000.0,0.322
1620016350.017846,1650.75,46507.0,5.0,5000.0,0.35
1620016352.616095,1650.375,46508.0,5.0,5000.0,0.336
1620016355.213134,1650.375,46508.0,5.0,5000.0,0.351
1620016357.843101,1650.375,46509.0,5.0,5000.0,0.349
1620016360.459472,1650.375,46509.0,5.0,5000.0,0.363
