Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1619430764.39009,261.4375,7,10,1000,0.209
1619430765.48571,261.4375,8,10,1000,0.217
1619430766.58682,261.4375,9,10,1000,0.223
1619430767.6811,261.375,10,10,1000,0.227
1619430768.77777,261.4375,11,10,1000,0.231
1619430769.87613,261.4375,12,10,1000,0.246
1619430770.98396,261.4375,13,10,1000,0.249
1619430772.07994,261.375,14,10,1000,0.256
1619430773.17801,261.4375,15,10,1000,0.26
1619430774.27342,261.4375,16,10,1000,0.273
1619430775.4175,261.375,18,10,1000,0.281
1619430776.56862,261.375,19,10,1000,0.288
1619430777.67284,261.375,20,10,1000,0.293
1619430778.80628,261.375,21,10,1000,0.307
1619430779.94807,261.375,22,10,1000,0.31
1619430781.07448,261.375,23,10,1000,0.317
1619430782.16687,261.375,24,10,1000,0.321
1619430783.2664,261.375,25,10,1000,0.337
1619430784.37254,261.375,27,10,1000,0.326
1619430785.46549,261.375,28,10,1000,0.34
1619430786.56201,261.375,29,10,1000,0.357
1619430787.66402,261.375,30,10,1000,0.363
1619430788.75911,261.375,31,10,1000,0.368
1619430789.85674,261.375,32,10,1000,0.372
1619430790.95567,261.375,33,10,1000,0.389
1619430792.0527,261.375,34,10,1000,0.398
1619430793.15893,261.375,35,10,1000,0.401
1619430794.25671,261.375,36,10,1000,0.407
1619430795.35716,261.3125,38,10,1000,0.411
1619430796.45081,261.3125,39,10,1000,0.422
1619430797.5786,261.3125,40,10,1000,0.43
1619430798.69983,261.25,41,10,1000,0.438
1619430799.80154,261.3125,42,10,1000,0.443
1619430800.90467,261.3125,43,10,1000,0.464
1619430801.9963,261.25,44,10,1000,0.467
1619430803.0939,261.25,45,10,1000,0.471
1619430804.19834,261.25,46,10,1000,0.476
1619430805.29089,261.1875,47,10,1000,0.486
1619430806.39556,261.25,49,10,1000,0.496
1619430807.49259,261.25,50,10,1000,0.501
1619430808.59104,261.25,51,10,1000,0.505
1619430809.68684,261.1875,52,10,1000,0.517
1619430810.79073,261.1875,53,10,1000,0.524
1619430811.88404,261.1875,54,10,1000,0.533
1619430812.98385,261.1875,55,10,1000,0.548
1619430814.08382,261.125,56,10,1000,0.555
1619430815.19049,261.125,57,10,1000,0.654
1619430816.27776,261.125,58,10,1000,0.666
1619430817.38459,261.125,60,10,1000,0.672
1619430818.47732,261.0625,61,10,1000,0.676
1619430819.57334,261.0625,62,10,1000,0.686
1619430820.67231,261.0625,63,10,1000,0.694
1619430821.77704,261.0625,64,10,1000,0.702
1619430822.87489,261.0625,65,10,1000,0.707
1619430823.9718,261.0625,66,10,1000,0.724
1619430825.06979,261.0625,67,10,1000,0.728
1619430826.17175,261.0625,68,10,1000,0.735
1619430827.26993,261.0625,69,10,1000,0.739
1619430828.37273,261.125,71,10,1000,0.751
1619430829.46939,261.125,72,10,1000,0.762
1619430830.56648,261.0625,73,10,1000,0.768
1619430831.66324,261.125,74,10,1000,0.772
1619430832.76935,261.125,75,10,1000,0.788
1619430833.8594,261.0625,76,10,1000,0.793
1619430834.95866,261.125,77,10,1000,0.801
1619430836.05975,261.125,78,10,1000,0.806
1619430837.15995,261.0625,79,10,1000,0.821
1619430838.25663,261.0625,80,10,1000,0.832
1619430839.35735,261.0625,82,10,1000,0.835
1619430840.4852,261.0625,83,10,1000,0.843
1619430841.59874,261.0625,84,10,1000,0.852
1619430842.72455,261,85,10,1000,0.859
1619430843.84966,261,86,10,1000,0.864
1619430844.93968,261,87,10,1000,0.884
1619430846.04623,261,88,10,1000,0.887
1619430847.14773,260.9375,89,10,1000,0.892
1619430848.24617,260.9375,90,10,1000,0.899
1619430849.34391,260.9375,91,10,1000,0.909
1619430850.4445,260.875,93,10,1000,0.919
1619430851.54283,260.875,94,10,1000,0.924
1619430852.63774,260.875,95,10,1000,0.93
1619430853.75638,260.875,96,10,1000,0.941
1619430854.88868,260.875,97,10,1000,0.948
1619430855.98491,260.875,98,10,1000,0.955
1619430857.08061,260.875,99,10,1000,0.96
1619430858.18531,260.875,100,10,1000,0.974
1619430859.28886,260.9375,101,10,1000,0.985
1619430860.37818,260.9375,102,10,1000,0.991
1619430861.47751,260.9375,104,10,1000,0.998
1619430862.60688,260.9375,105,10,1000,1.012
1619430863.73184,260.9375,106,10,1000,1.019
1619430864.85582,260.9375,107,10,1000,1.027
1619430865.9733,260.9375,108,10,1000,1.045
1619430867.07927,260.9375,109,10,1000,1.051
1619430868.19444,260.9375,110,10,1000,1.053
1619430869.31816,260.9375,111,10,1000,1.061
1619430870.42231,260.875,113,10,1000,1.067
1619430871.5198,260.9375,114,10,1000,1.082
1619430872.62172,260.9375,115,10,1000,1.092
1619430873.7466,260.875,116,10,1000,1.1
1619430874.86205,260.875,117,10,1000,1.107
1619430875.9633,260.875,118,10,1000,1.214
1619430877.0661,260.875,119,10,1000,1.215
1619430878.16372,260.875,120,10,1000,1.221
1619430879.25604,260.875,121,10,1000,1.228
1619430880.31577,260.8125,122,10,1000,1.239
1619430881.40894,260.8125,123,10,1000,1.25
1619430882.50875,260.8125,125,10,1000,1.254
1619430883.60393,260.8125,126,10,1000,1.26
1619430884.69966,260.75,127,10,1000,1.265
1619430885.80301,260.75,128,10,1000,1.282
1619430886.90667,260.75,129,10,1000,1.287
1619430888.00209,260.6875,130,10,1000,1.295
1619430889.10523,260.6875,131,10,1000,1.3
1619430890.19695,260.625,132,10,1000,1.316
1619430891.2968,260.625,133,10,1000,1.325
1619430892.40043,260.625,134,10,1000,1.33
1619430893.49985,260.625,136,10,1000,1.335
1619430894.59499,260.5625,137,10,1000,1.34
1619430895.69055,260.5625,138,10,1000,1.355
1619430896.79155,260.5625,139,10,1000,1.362
1619430897.89024,260.5625,140,10,1000,1.37
1619430898.99017,260.5625,141,10,1000,1.374
1619430900.09051,260.5,142,10,1000,1.393
1619430901.18769,260.5625,143,10,1000,1.395
1619430902.28227,260.5625,144,10,1000,1.401
1619430903.38888,260.5625,145,10,1000,1.411
1619430904.48504,260.5625,147,10,1000,1.421
1619430905.58182,260.5625,148,10,1000,1.427
1619430906.67969,260.5625,149,10,1000,1.432
1619430907.80592,260.5625,150,10,1000,1.445
1619430908.9251,260.5625,151,10,1000,1.452
1619430910.0281,260.5625,152,10,1000,1.459
1619430911.12571,260.5625,153,10,1000,1.472
1619430912.2253,260.5625,154,10,1000,1.48
1619430913.34367,260.625,155,10,1000,1.486
1619430914.47315,260.625,157,10,1000,1.492
1619430915.57357,260.625,158,10,1000,1.502
1619430916.67021,260.625,159,10,1000,1.51
1619430917.76846,260.625,160,10,1000,1.521
1619430918.86844,260.625,161,10,1000,1.526
1619430919.9636,260.625,162,10,1000,1.544
1619430921.06626,260.625,163,10,1000,1.548
1619430922.16484,260.625,164,10,1000,1.555
1619430923.26,260.625,165,10,1000,1.561
1619430924.3557,260.625,166,10,1000,1.575
1619430925.46267,260.5625,168,10,1000,1.585
1619430926.56073,260.5625,169,10,1000,1.689
1619430927.65603,260.5625,170,10,1000,1.69
1619430928.75546,260.5625,171,10,1000,1.7
1619430929.85425,260.5625,172,10,1000,1.706
1619430930.95036,260.5625,173,10,1000,1.711
1619430932.05503,260.5625,174,10,1000,1.728
1619430933.15395,260.5625,175,10,1000,1.732
1619430934.24793,260.5625,176,10,1000,1.739
1619430935.34489,260.5,177,10,1000,1.744
1619430936.4525,260.5,179,10,1000,1.757
1619430937.54274,260.5,180,10,1000,1.767
1619430938.64376,260.5,181,10,1000,1.773
1619430939.74058,260.5,182,10,1000,1.779
1619430940.84329,260.4375,183,10,1000,1.784
1619430941.93674,260.4375,184,10,1000,1.803
1619430943.042,260.4375,185,10,1000,1.806
1619430944.1414,260.4375,186,10,1000,1.814
1619430945.23354,260.375,187,10,1000,1.827
1619430946.334,260.375,188,10,1000,1.837
1619430947.43941,260.375,189,10,1000,1.84
1619430948.53454,260.3125,191,10,1000,1.847
1619430949.63489,260.3125,192,10,1000,1.857
1619430950.73308,260.375,193,10,1000,1.866
1619430951.82435,260.375,194,10,1000,1.874
1619430952.93079,260.3125,195,10,1000,1.88
1619430954.0311,260.3125,196,10,1000,1.896
1619430955.12776,260.3125,197,10,1000,1.9
1619430956.22279,260.3125,198,10,1000,1.908
1619430957.32421,260.25,199,10,1000,1.919
1619430958.42722,260.25,200,10,1000,1.929
1619430959.52183,260.25,202,10,1000,1.934
1619430960.62027,260.25,203,10,1000,1.94
1619430961.72072,260.25,204,10,1000,1.951
1619430962.81389,260.25,205,10,1000,1.958
1619430963.91442,260.1875,206,10,1000,1.966
1619430965.0158,260.125,207,10,1000,1.972
1619430966.11811,260.125,208,10,1000,1.991
1619430967.21154,260.1875,209,10,1000,1.997
1619430968.31202,260.125,210,10,1000,2.002
1619430969.41737,260.125,211,10,1000,2.008
1619430970.51495,260.125,213,10,1000,2.013
1619430971.61003,260.125,214,10,1000,2.026
1619430972.70969,260.125,215,10,1000,2.037
1619430973.8048,260.125,216,10,1000,2.044
1619430974.89971,260.0625,217,10,1000,2.049
1619430976.00684,260.0625,218,10,1000,2.054
1619430977.10534,260.0625,219,10,1000,2.074
1619430978.20879,260.0625,220,10,1000,2.077
1619430979.30191,260.0625,221,10,1000,2.085
1619430980.4057,260.0625,222,10,1000,2.09
1619430981.49926,260.0625,223,10,1000,2.202
1619430982.59726,260.0625,225,10,1000,2.204
1619430983.69353,260,226,10,1000,2.209
1619430984.79331,260,227,10,1000,2.219
1619430985.89268,260,228,10,1000,2.226
1619430986.99911,259.9375,229,10,1000,2.234
1619430988.08917,259.9375,230,10,1000,2.24
1619430989.18654,259.9375,231,10,1000,2.256
1619430990.28727,259.9375,232,10,1000,2.265
1619430991.3409,259.9375,233,10,1000,2.269
1619430992.43624,259.9375,234,10,1000,2.275
1619430993.53382,259.9375,236,10,1000,2.284
1619430994.66221,259.9375,237,10,1000,2.293
1619430995.77951,260,238,10,1000,2.302
1619430996.88644,259.9375,239,10,1000,2.307
1619430997.98591,260,240,10,1000,2.323
1619430999.07899,260,241,10,1000,2.326
1619431000.1756,260,242,10,1000,2.334
1619431001.27241,260,243,10,1000,2.347
1619431002.37725,260,244,10,1000,2.356
1619431003.47386,260,245,10,1000,2.361
1619431004.57176,260,247,10,1000,2.367
1619431005.67011,260,248,10,1000,2.376
1619431006.76787,260,249,10,1000,2.386
1619431007.86733,260,250,10,1000,2.393
1619431008.97137,260,251,10,1000,2.399
1619431010.06565,260,252,10,1000,2.414
1619431011.1638,260,253,10,1000,2.418
1619431012.26199,260,254,10,1000,2.426
1619431013.36524,259.9375,255,10,1000,2.436
1619431014.45893,260,256,10,1000,2.451
1619431015.56369,260,258,10,1000,2.453
1619431016.65685,259.9375,259,10,1000,2.458
1619431017.75553,259.9375,260,10,1000,2.463
1619431018.85526,259.9375,261,10,1000,2.479
1619431019.959,259.9375,262,10,1000,2.485
1619431021.05419,259.9375,263,10,1000,2.493
1619431022.15172,259.875,264,10,1000,2.499
1619431023.25191,259.875,265,10,1000,2.515
1619431024.304,259.875,266,10,1000,2.525
1619431025.39815,259.875,267,10,1000,2.529
1619431026.4976,259.875,268,10,1000,2.536
1619431027.59229,259.8125,270,10,1000,2.541
1619431028.69363,259.8125,271,10,1000,2.554
1619431029.79252,259.8125,272,10,1000,2.563
1619431030.89378,259.75,273,10,1000,2.571
1619431031.991,259.75,274,10,1000,2.578
1619431033.09342,259.75,275,10,1000,2.595
1619431034.1837,259.75,276,10,1000,2.598
1619431035.28977,259.6875,277,10,1000,2.606
1619431036.38874,259.6875,278,10,1000,2.708
1619431037.4844,259.6875,279,10,1000,2.713
1619431038.58242,259.6875,281,10,1000,2.719
1619431039.6825,259.6875,282,10,1000,2.724
1619431040.77986,259.6875,283,10,1000,2.73
1619431041.88113,259.625,284,10,1000,2.746
1619431042.98245,259.625,285,10,1000,2.752
1619431044.07466,259.625,286,10,1000,2.76
1619431045.17764,259.625,287,10,1000,2.775
1619431046.28407,259.625,288,10,1000,2.783
1619431047.37637,259.5625,289,10,1000,2.786
1619431048.47409,259.5625,290,10,1000,2.793
1619431049.57013,259.5625,291,10,1000,2.802
1619431050.66662,259.5625,293,10,1000,2.813
1619431051.76561,259.5625,294,10,1000,2.82
1619431052.87262,259.5625,295,10,1000,2.825
1619431053.97233,259.5625,296,10,1000,2.841
1619431055.06403,259.5625,297,10,1000,2.845
1619431056.16086,259.5625,298,10,1000,2.853
1619431057.27157,259.5,299,10,1000,2.866
1619431058.35881,259.5,300,10,1000,2.876
1619431059.4627,259.5,301,10,1000,2.878
1619431060.56108,259.5,302,10,1000,2.887
1619431061.65506,259.4375,304,10,1000,2.891
1619431062.75493,259.4375,305,10,1000,2.904
1619431063.85892,259.4375,306,10,1000,2.912
1619431064.95473,259.4375,307,10,1000,2.92
1619431066.05188,259.4375,308,10,1000,2.926
1619431067.14837,259.4375,309,10,1000,2.946
1619431068.25565,259.5,310,10,1000,2.952
1619431069.35005,259.4375,311,10,1000,2.956
1619431070.45043,259.5,312,10,1000,2.963
1619431071.54897,259.5,313,10,1000,2.968
1619431072.64191,259.4375,315,10,1000,2.981
1619431073.74244,259.5,316,10,1000,2.991
1619431074.8478,259.5,317,10,1000,2.998
1619431075.93873,259.5,318,10,1000,3.004
1619431077.03963,259.5,319,10,1000,3.009
1619431078.14047,259.5,320,10,1000,3.029
1619431079.24795,259.5,321,10,1000,3.033
1619431080.33789,259.5625,322,10,1000,3.042
1619431081.43997,259.5625,323,10,1000,3.046
1619431082.53489,259.5,324,10,1000,3.061
1619431083.63076,259.5625,326,10,1000,3.072
1619431084.73187,259.5,327,10,1000,3.078
1619431085.83361,259.5,328,10,1000,3.084
1619431086.93142,259.5,329,10,1000,3.098
1619431088.05246,259.5625,330,10,1000,3.105
1619431089.17397,259.5625,331,10,1000,3.114
1619431090.28118,259.5,332,10,1000,3.13
1619431091.37942,259.5,333,10,1000,3.138
1619431092.47514,259.5,334,10,1000,3.142
1619431093.58274,259.5,335,10,1000,3.149
1619431094.67126,259.5,337,10,1000,3.162
1619431095.7689,259.4375,338,10,1000,3.17
1619431096.87338,259.4375,339,10,1000,3.178
1619431097.97218,259.4375,340,10,1000,3.283
1619431099.07086,259.4375,341,10,1000,3.286
1619431100.16388,259.4375,342,10,1000,3.294
1619431101.26757,259.4375,343,10,1000,3.311
1619431102.36542,259.4375,344,10,1000,3.318
1619431103.4566,259.4375,345,10,1000,3.321
1619431104.56163,259.4375,346,10,1000,3.328
1619431105.69047,259.4375,348,10,1000,3.338
1619431106.83399,259.4375,349,10,1000,3.348
1619431107.95574,259.4375,350,10,1000,3.355
1619431109.05815,259.4375,351,10,1000,3.362
1619431110.15382,259.375,352,10,1000,3.379
1619431111.25208,259.4375,353,10,1000,3.382
1619431112.35401,259.375,354,10,1000,3.39
1619431113.45052,259.375,355,10,1000,3.395
1619431114.55054,259.375,356,10,1000,3.408
1619431115.64646,259.375,358,10,1000,3.419
1619431116.74956,259.375,359,10,1000,3.425
1619431117.84796,259.3125,360,10,1000,3.431
1619431118.95088,259.3125,361,10,1000,3.436
1619431120.04855,259.3125,362,10,1000,3.453
1619431121.13983,259.3125,363,10,1000,3.458
1619431122.24058,259.3125,364,10,1000,3.466
1619431123.3455,259.25,365,10,1000,3.472
1619431124.44093,259.25,366,10,1000,3.487
1619431125.53834,259.25,367,10,1000,3.498
1619431126.63431,259.25,369,10,1000,3.501
1619431127.7357,259.1875,370,10,1000,3.51
1619431128.8318,259.1875,371,10,1000,3.514
1619431129.93263,259.1875,372,10,1000,3.529
1619431131.03505,259.125,373,10,1000,3.536
1619431132.12708,259.125,374,10,1000,3.544
1619431133.22868,259.125,375,10,1000,3.55
1619431134.33464,259.125,376,10,1000,3.568
1619431135.4268,259.125,377,10,1000,3.572
1619431136.52527,259.0625,378,10,1000,3.579
1619431137.62406,259.0625,380,10,1000,3.589
1619431138.71871,259,381,10,1000,3.6
1619431139.82226,259.0625,382,10,1000,3.606
1619431140.92423,259.0625,383,10,1000,3.611
1619431142.02415,259,384,10,1000,3.624
1619431143.11507,259,385,10,1000,3.63
1619431144.21109,259,386,10,1000,3.639
1619431145.32201,259,387,10,1000,3.654
1619431146.41239,259,388,10,1000,3.661
1619431147.49192,259,389,10,1000,3.665
1619431148.61445,258.9375,390,10,1000,3.672
1619431149.70924,258.9375,391,10,1000,3.676
1619431150.8086,258.9375,393,10,1000,3.691
1619431151.91022,258.9375,394,10,1000,3.701
1619431153.00582,258.9375,395,10,1000,3.708
1619431154.10194,258.875,396,10,1000,3.714
1619431155.2014,258.875,397,10,1000,3.731
1619431156.31073,258.875,398,10,1000,3.738
1619431157.40331,258.875,399,10,1000,3.84
1619431158.50308,258.875,400,10,1000,3.841
1619431159.60117,258.8125,401,10,1000,3.85
1619431160.69782,258.875,402,10,1000,3.856
1619431161.79148,258.8125,404,10,1000,3.866
1619431162.90242,258.8125,405,10,1000,3.876
1619431163.99255,258.8125,406,10,1000,3.884
1619431165.0922,258.75,407,10,1000,3.89
1619431166.19431,258.75,408,10,1000,3.895
1619431167.29533,258.75,409,10,1000,3.915
1619431168.39021,258.75,410,10,1000,3.919
1619431169.49,258.75,411,10,1000,3.926
1619431170.58715,258.75,412,10,1000,3.931
1619431171.68575,258.75,413,10,1000,3.945
1619431172.78329,258.75,415,10,1000,3.956
1619431173.8896,258.75,416,10,1000,3.962
1619431174.98348,258.75,417,10,1000,3.967
1619431176.07989,258.75,418,10,1000,3.972
1619431177.1799,258.75,419,10,1000,3.991
1619431178.28082,258.75,420,10,1000,3.993
