Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1619068330.88814,898.8125,56,5,100,0.299
1619068333.50885,898.5625,82,5,100,0.59
1619068336.10143,898.5625,107,5,100,0.813
1619068338.7092,898.1875,133,5,100,1.077
1619068341.30103,897.75,159,5,100,1.303
1619068343.89495,897.5,185,5,100,1.561
1619068346.49786,897.3125,210,5,100,1.822
1619068349.09259,897.125,236,5,100,2.05
1619068351.71726,896.8125,262,5,100,2.313
1619068354.34025,896.5625,289,5,100,2.537
1619068356.95801,896.1875,314,5,100,2.805
1619068359.60967,896.0625,340,5,100,3.026
1619068362.2334,895.875,366,5,100,3.288
1619068364.85718,895.375,393,5,100,3.548
1619068367.49162,895.0625,418,5,100,3.787
1619068370.12424,894.75,444,5,100,4.132
1619068372.72701,894.5625,470,5,100,4.345
1619068375.35459,894.3125,497,5,100,4.608
1619068378.00203,893.875,522,5,100,4.878
1619068380.63043,893.8125,548,5,100,5.101
1619068383.26373,893.5,575,5,100,5.352
1619068385.84987,893.125,601,5,100,5.618
1619068388.45099,892.375,626,5,100,5.845
1619068391.07688,892.5,652,5,100,6.111
1619068393.6502,892.25,678,5,100,6.426
1619068396.2422,891.875,703,5,100,6.685
1619068398.83725,891.5,728,5,100,6.907
1619068401.46091,891.1875,755,5,100,7.167
1619068404.11657,890.5625,781,5,100,7.382
1619068406.73476,890.5625,806,5,100,7.734
1619068409.3569,890.5625,833,5,100,7.951
1619068411.9757,890.3125,859,5,100,8.212
1619068414.57631,889.9375,885,5,100,8.44
1619068417.17299,889.75,910,5,100,8.708
1619068419.76992,889.3125,936,5,100,8.977
1619068422.36281,889,962,5,100,9.203
1619068424.96037,888.625,988,5,100,9.482
1619068427.564,888.5625,1013,5,100,9.714
1619068430.15746,888.0625,1039,5,100,9.989
1619068432.74989,887.9375,1065,5,100,10.216
1619068435.35172,887.5,1091,5,100,10.484
1619068437.94488,887.4375,1116,5,100,10.814
1619068440.57131,886.9375,1142,5,100,11.032
1619068443.18981,886.8125,1168,5,100,11.298
1619068445.78729,886.3125,1194,5,100,11.515
1619068448.40181,886.25,1219,5,100,11.793
1619068451.05824,885.6875,1246,5,100,12.038
1619068456.27379,885.1875,1298,5,100,12.638
1619068458.87927,884.75,1323,5,100,12.854
1619068461.47366,884.5625,1349,5,100,13.118
1619068464.07923,884.25,1375,5,100,13.336
1619068466.67136,884.1875,1401,5,100,13.605
1619068469.27647,883.75,1426,5,100,13.83
1619068471.92658,883.4375,1452,5,100,14.201
1619068474.56327,883.25,1479,5,100,14.426
1619068477.18575,882.8125,1504,5,100,14.689
1619068479.80395,882.6875,1530,5,100,14.945
1619068482.40041,882.375,1556,5,100,15.164
1619068484.99953,882.25,1582,5,100,15.44
1619068487.59685,881.625,1607,5,100,15.663
1619068490.19228,881.5625,1633,5,100,15.935
1619068492.8182,881.25,1659,5,100,16.167
1619068495.43311,880.8125,1685,5,100,16.464
1619068498.03248,880.625,1710,5,100,16.79
1619068500.63052,880.375,1736,5,100,17.009
1619068503.23697,880.0625,1762,5,100,17.26
1619068505.83022,880,1788,5,100,17.527
1619068508.45397,879.3125,1814,5,100,17.752
1619068511.10158,879.3125,1840,5,100,17.988
1619068513.71765,878.9375,1866,5,100,18.326
1619068516.31185,878.625,1892,5,100,18.586
1619068518.91392,878.5,1917,5,100,18.802
1619068521.51122,878.125,1943,5,100,19.066
1619068524.10736,877.875,1969,5,100,19.287
1619068526.70384,877.3125,1995,5,100,19.55
1619068529.30836,877.125,2020,5,100,19.782
1619068531.89779,876.9375,2046,5,100,20.135
1619068534.52448,877,2072,5,100,20.394
1619068537.14523,876.5,2099,5,100,20.613
1619068539.76423,876.1875,2124,5,100,20.88
1619068542.41898,875.8125,2150,5,100,21.112
1619068545.06245,875.5,2177,5,100,21.381
1619068547.68789,875.1875,2202,5,100,21.731
1619068550.30715,874.8125,2228,5,100,21.955
1619068552.92974,874.75,2254,5,100,22.213
1619068555.52245,874.1875,2280,5,100,22.427
1619068558.1506,874.25,2306,5,100,22.686
1619068563.35929,873.5,2358,5,100,23.174
1619068565.96195,873.25,2384,5,100,23.292
1619068568.56247,873,2409,5,100,23.517
1619068571.18525,872.625,2435,5,100,23.798
1619068573.80477,872.3125,2461,5,100,24.034
1619068576.41072,872.0625,2487,5,100,24.406
1619068579.04577,871.75,2513,5,100,24.63
1619068581.64243,871.625,2539,5,100,24.894
1619068584.27738,871.375,2565,5,100,25.117
1619068586.92291,870.9375,2591,5,100,25.369
1619068589.53848,870.875,2616,5,100,25.603
1619068592.14054,870.3125,2643,5,100,25.944
1619068594.7384,870.3125,2668,5,100,26.212
1619068597.33792,869.8125,2694,5,100,26.43
1619068599.91891,869.6875,2719,5,100,26.692
1619068602.52131,869.125,2745,5,100,26.907
1619068605.12313,869.125,2771,5,100,27.168
1619068607.7282,868.8125,2797,5,100,27.389
1619068610.36454,868.625,2823,5,100,27.673
1619068612.96435,868.125,2849,5,100,27.902
1619068615.5611,867.8125,2875,5,100,28.168
1619068618.15806,867.9375,2901,5,100,28.401
1619068620.79815,867.4375,2926,5,100,28.672
1619068623.40188,867,2952,5,100,28.913
1619068626.00185,866.875,2978,5,100,29.192
1619068628.59288,866.8125,3003,5,100,29.558
1619068631.18894,866.0625,3029,5,100,29.772
1619068633.81522,866.0625,3055,5,100,30.026
1619068636.43753,865.4375,3081,5,100,30.242
1619068639.03376,865.3125,3106,5,100,30.502
1619068641.63338,865,3132,5,100,30.715
1619068644.23896,864.9375,3159,5,100,30.973
1619068646.87752,864.875,3185,5,100,31.192
1619068649.47057,864.3125,3210,5,100,31.453
1619068652.06691,864.25,3236,5,100,31.81
1619068654.66703,863.75,3262,5,100,32.021
1619068657.2617,863.4375,3288,5,100,32.276
