Time [s],Pressure [mbar],N injection,Time opening [ms],Mass [g]
1618828075.15966,482.1875,41,5,0.288
1618828077.82854,482,67,5,0.405
1618828080.47744,481.9375,93,5,0.616
1618828083.11728,481.8125,120,5,0.744
1618828085.7755,481.5625,146,5,0.905
1618828088.42004,481.5625,172,5,1.05
1618828091.06855,481.1875,198,5,1.308
1618828093.71237,481,225,5,1.455
1618828096.36399,480.9375,251,5,1.663
1618828098.98503,480.875,277,5,1.813
1618828101.64707,480.625,303,5,2.032
1618828104.30315,480.375,330,5,2.191
1618828106.94038,480.1875,356,5,2.369
1618828109.59546,479.875,382,5,2.546
1618828112.23604,479.625,408,5,2.765
1618828114.88406,479.5625,435,5,2.934
1618828117.53166,479.375,461,5,3.12
1618828120.18065,478.9375,486,5,3.367
1618828122.8334,478.9375,513,5,3.516
1618828125.47633,478.6875,539,5,3.705
1618828128.12066,478.5,565,5,3.866
1618828130.77173,478.3125,591,5,4.112
1618828133.44415,478.0625,618,5,4.292
1618828136.12375,477.9375,645,5,4.493
1618828138.77412,477.625,670,5,4.683
1618828141.47597,477.5,697,5,4.887
1618828146.81248,477,751,5,5.272
1618828149.44842,476.75,776,5,5.434
1618828154.74006,476.3125,829,5,5.847
1618828157.38665,476,856,5,6.041
1618828160.04847,475.875,881,5,6.26
1618828162.7581,475.6875,908,5,6.448
1618828165.43731,475.4375,935,5,6.62
1618828168.08197,475.25,961,5,6.829
1618828170.71634,474.875,987,5,7.018
1618828173.38012,474.8125,1013,5,7.244
1618828176.02055,474.6875,1040,5,7.419
1618828178.66746,474.3125,1065,5,7.605
1618828181.31702,474.25,1092,5,7.776
1618828183.94935,473.9375,1118,5,8.021
1618828186.61618,473.8125,1145,5,8.183
1618828189.25581,473.625,1170,5,8.402
1618828191.90759,473.375,1197,5,8.618
1618828194.54813,473.3125,1223,5,8.776
1618828197.19347,473,1250,5,8.971
1618828199.85079,472.6875,1275,5,9.212
1618828202.49282,472.75,1302,5,9.378
1618828205.1352,472.25,1328,5,9.565
1618828207.78376,472.125,1354,5,9.732
1618828210.44566,472.0625,1380,5,9.985
1618828215.78036,471.625,1433,5,10.398
1618828218.42458,471.4375,1460,5,10.56
1618828221.07856,471.0625,1485,5,10.758
1618828223.71164,470.875,1512,5,10.913
1618828226.36108,470.6875,1538,5,11.117
1618828229.01476,470.5625,1564,5,11.333
1618828231.66448,470.25,1590,5,11.534
1618828234.30567,469.9375,1617,5,11.739
1618828236.94831,469.6875,1643,5,11.931
1618828239.60426,469.625,1669,5,12.09
1618828242.24786,469.6875,1695,5,12.294
1618828244.88754,469.1875,1722,5,12.508
1618828247.53797,468.875,1748,5,12.728
1618828250.19798,468.875,1774,5,12.884
1618828252.83698,468.5625,1800,5,13.079
1618828255.4838,468.5,1827,5,13.236
1618828258.136,468.125,1853,5,13.476
1618828260.78607,467.875,1879,5,13.634
1618828263.43412,467.75,1905,5,13.905
1618828266.07256,467.5,1931,5,14.065
1618828268.71738,467.25,1958,5,14.251
1618828271.36828,467.25,1983,5,14.415
1618828274.01723,467,2010,5,14.608
1618828276.65654,466.5625,2036,5,14.821
1618828281.95425,466.4375,2088,5,15.232
1618828284.60502,466.125,2115,5,15.425
1618828287.2524,465.875,2141,5,15.583
1618828289.89251,465.75,2167,5,15.844
1618828292.55126,465.4375,2193,5,16.003
1618828295.20043,465.1875,2220,5,16.197
1618828297.83703,464.9375,2246,5,16.448
1618828300.48726,464.875,2272,5,16.606
1618828303.14813,464.5625,2298,5,16.791
1618828305.84785,464.375,2325,5,16.957
1618828311.17521,464,2377,5,17.403
1618828313.82499,463.9375,2404,5,17.562
1618828316.4711,463.5625,2430,5,17.752
1618828319.12915,463.375,2457,5,17.909
1618828321.82427,463.125,2483,5,18.17
1618828324.53105,462.875,2510,5,18.332
1618828327.22317,462.75,2537,5,18.576
1618828332.55676,462.5,2589,5,18.927
1618828335.20653,462.0625,2616,5,19.127
1618828337.83868,461.9375,2642,5,19.327
1618828340.4955,461.6875,2668,5,19.509
1618828343.13654,461.5,2694,5,19.676
1618828345.79241,461.25,2721,5,19.908
1618828348.43892,461,2747,5,20.067
1618828351.08054,460.9375,2772,5,20.327
1618828353.73461,460.75,2799,5,20.48
1618828356.38009,460.5625,2825,5,20.671
1618828359.02297,460.25,2852,5,20.828
1618828361.66517,460.125,2877,5,21.026
1618828364.30939,459.8125,2904,5,21.247
1618828366.96099,459.5625,2930,5,21.448
1618828369.60977,459.5625,2957,5,21.646
1618828372.26014,459.25,2982,5,21.836
1618828374.90926,459.125,3009,5,22.025
1618828377.55116,459,3035,5,22.225
1618828380.20073,458.5625,3062,5,22.387
1618828382.85315,458.4375,3087,5,22.628
1618828385.49526,458.25,3114,5,22.787
1618828388.14689,458.0625,3140,5,22.973
1618828390.79083,457.875,3166,5,23.214
1618828393.43338,457.75,3192,5,23.369
1618828396.0768,457.5,3218,5,23.558
