Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1619783120.58421,1839.37512207031,15,5,5000,0.042
1619783123.17745,1839.37512207031,15,5,5000,0.042
1619783125.77415,1839.37512207031,16,5,5000,0.042
1619783128.37427,1839.37512207031,16,5,5000,0.042
1619783130.96769,1839.37512207031,17,5,5000,0.042
1619783133.56255,1839.37512207031,17,5,5000,0.042
1619783136.16542,1838.99987792969,18,5,5000,0.042
1619783138.75695,1838.99987792969,18,5,5000,0.114
1619783141.35429,1839.37512207031,19,5,5000,0.114
1619783143.95267,1838.99987792969,19,5,5000,0.114
1619783146.55943,1838.99987792969,20,5,5000,0.114
1619783149.15117,1838.99987792969,20,5,5000,0.114
1619783151.74402,1838.99987792969,21,5,5000,0.114
1619783154.34477,1838.99987792969,21,5,5000,0.113
1619783156.93927,1838.99987792969,22,5,5000,0.113
1619783159.53812,1838.99987792969,23,5,5000,0.113
1619783162.13366,1838.99987792969,23,5,5000,0.113
1619783164.73215,1838.99987792969,24,5,5000,0.113
1619783167.32973,1838.99987792969,24,5,5000,0.188
1619783169.9237,1838.99987792969,25,5,5000,0.188
1619783172.52183,1838.99987792969,25,5,5000,0.188
1619783175.12272,1838.99987792969,26,5,5000,0.188
1619783177.71741,1838.99987792969,26,5,5000,0.188
1619783180.31258,1838.99987792969,27,5,5000,0.188
1619783182.90652,1838.99987792969,27,5,5000,0.188
1619783185.50796,1838.99987792969,28,5,5000,0.188
1619783188.10382,1838.99987792969,28,5,5000,0.188
1619783190.70208,1838.99987792969,29,5,5000,0.187
1619783193.29924,1839.37512207031,29,5,5000,0.263
1619783195.90231,1838.99987792969,30,5,5000,0.263
1619783198.49373,1838.99987792969,30,5,5000,0.263
1619783201.09278,1838.99987792969,31,5,5000,0.263
1619783203.68732,1838.99987792969,31,5,5000,0.263
1619783206.28523,1838.99987792969,32,5,5000,0.263
1619783208.88894,1838.99987792969,32,5,5000,0.263
1619783211.48068,1838.99987792969,33,5,5000,0.263
1619783214.07624,1838.99987792969,33,5,5000,0.263
1619783216.67148,1838.99987792969,34,5,5000,0.263
1619783219.27353,1838.99987792969,34,5,5000,0.342
1619783221.87348,1838.99987792969,35,5,5000,0.342
1619783224.46564,1838.99987792969,36,5,5000,0.341
1619783227.06169,1838.99987792969,36,5,5000,0.341
1619783229.66024,1838.99987792969,37,5,5000,0.341
1619783232.26103,1838.99987792969,37,5,5000,0.341
1619783234.85812,1838.99987792969,38,5,5000,0.341
1619783237.44897,1838.99987792969,38,5,5000,0.34
1619783240.04845,1838.625,39,5,5000,0.34
1619783242.64321,1838.625,39,5,5000,0.34
1619783245.24074,1838.625,40,5,5000,0.34
1619783247.84079,1838.625,40,5,5000,0.34
1619783250.43614,1838.625,41,5,5000,0.419
1619783253.03298,1838.625,41,5,5000,0.42
1619783255.62781,1838.625,42,5,5000,0.417
1619783258.22762,1838.625,42,5,5000,0.418
1619783260.81934,1838.625,43,5,5000,0.418
1619783263.42262,1838.625,43,5,5000,0.417
1619783266.01944,1838.625,44,5,5000,0.418
1619783268.61282,1838.625,44,5,5000,0.419
1619783271.21827,1838.625,45,5,5000,0.419
1619783273.81444,1838.625,45,5,5000,0.419
1619783276.40754,1838.625,46,5,5000,0.498
1619783279.00406,1838.25,46,5,5000,0.498
1619783281.59889,1838.625,47,5,5000,0.498
1619783284.20085,1838.625,47,5,5000,0.498
1619783286.79161,1838.625,48,5,5000,0.498
1619783289.39539,1838.625,48,5,5000,0.497
1619783291.98996,1838.625,49,5,5000,0.497
1619783294.58754,1838.625,50,5,5000,0.497
1619783297.18704,1838.625,50,5,5000,0.497
1619783299.78371,1838.25,51,5,5000,0.497
1619783302.38176,1838.625,51,5,5000,0.497
1619783304.9763,1838.25,52,5,5000,0.578
1619783307.57551,1838.25,52,5,5000,0.578
1619783310.16843,1838.25,53,5,5000,0.578
1619783312.76382,1838.25,53,5,5000,0.577
1619783315.36714,1838.25,54,5,5000,0.577
1619783317.96188,1838.25,54,5,5000,0.577
1619783320.55927,1838.25,55,5,5000,0.577
1619783323.15341,1838.25,55,5,5000,0.577
1619783325.70534,1838.625,56,5,5000,0.577
1619783328.30034,1838.25,56,5,5000,0.657
1619783330.8974,1838.25,57,5,5000,0.656
1619783333.49496,1838.625,57,5,5000,0.656
1619783336.09083,1838.25,58,5,5000,0.656
1619783338.68952,1838.25,58,5,5000,0.657
1619783341.31089,1838.25,59,5,5000,0.656
1619783343.93113,1838.25,59,5,5000,0.657
1619783346.52814,1838.25,60,5,5000,0.657
1619783349.132,1838.25,60,5,5000,0.657
1619783351.72417,1838.25,61,5,5000,0.656
1619783354.32231,1838.25,61,5,5000,0.736
1619783356.91822,1838.25,62,5,5000,0.736
1619783359.51722,1838.25,63,5,5000,0.736
1619783362.11358,1838.25,63,5,5000,0.735
1619783364.71285,1838.25,64,5,5000,0.735
1619783367.31359,1838.25,64,5,5000,0.735
1619783369.90636,1837.875,65,5,5000,0.735
1619783372.50313,1838.25,65,5,5000,0.734
1619783375.09866,1837.875,66,5,5000,0.735
1619783377.69854,1838.25,66,5,5000,0.735
1619783380.29428,1838.25,67,5,5000,0.735
1619783382.88974,1838.25,67,5,5000,0.734
1619783385.4839,1837.875,68,5,5000,0.816
1619783388.08566,1837.875,68,5,5000,0.817
1619783390.67996,1837.875,69,5,5000,0.817
1619783393.27826,1837.875,69,5,5000,0.816
1619783395.87293,1837.875,70,5,5000,0.816
1619783398.46908,1837.875,70,5,5000,0.816
1619783401.06705,1837.875,71,5,5000,0.816
1619783403.66964,1837.875,71,5,5000,0.816
1619783406.26725,1837.875,72,5,5000,0.816
1619783408.85943,1837.875,72,5,5000,0.898
1619783411.45332,1837.875,73,5,5000,0.895
1619783414.05702,1837.875,73,5,5000,0.895
1619783416.65066,1837.875,74,5,5000,0.895
1619783419.25294,1837.875,74,5,5000,0.895
1619783421.84579,1837.875,75,5,5000,0.895
1619783424.4424,1837.875,75,5,5000,0.895
1619783427.04004,1837.5,76,5,5000,0.894
1619783429.63696,1837.875,77,5,5000,0.894
1619783432.23781,1837.875,77,5,5000,0.894
1619783434.83417,1837.5,78,5,5000,0.894
1619783437.42852,1837.875,78,5,5000,0.894
1619783440.02546,1837.5,79,5,5000,0.975
1619783442.62995,1837.5,79,5,5000,0.975
1619783445.22218,1837.5,80,5,5000,0.975
1619783447.81645,1837.875,80,5,5000,0.975
1619783450.41321,1837.5,81,5,5000,0.975
1619783453.01555,1837.5,81,5,5000,0.975
1619783455.61437,1837.5,82,5,5000,0.974
1619783458.20881,1837.5,82,5,5000,0.974
1619783460.80856,1837.5,83,5,5000,0.974
1619783463.3999,1837.5,83,5,5000,0.974
1619783466.00045,1837.5,84,5,5000,0.974
1619783468.5936,1837.5,84,5,5000,0.974
1619783471.19381,1837.5,85,5,5000,0.974
1619783473.78828,1837.5,85,5,5000,1.058
1619783476.41375,1837.5,86,5,5000,1.058
1619783479.03513,1837.5,86,5,5000,1.058
1619783481.62708,1837.5,87,5,5000,1.057
1619783484.23124,1837.5,87,5,5000,1.057
1619783486.82699,1837.5,88,5,5000,1.057
1619783489.41916,1837.5,88,5,5000,1.057
1619783492.0161,1837.5,89,5,5000,1.057
1619783494.61207,1837.5,90,5,5000,1.057
1619783497.21469,1837.12512207031,90,5,5000,1.057
1619783499.81006,1837.5,91,5,5000,1.139
1619783502.40493,1837.12512207031,91,5,5000,1.139
1619783505.00301,1837.12512207031,92,5,5000,1.139
1619783507.59578,1837.12512207031,92,5,5000,1.139
1619783510.20145,1837.12512207031,93,5,5000,1.139
1619783512.79865,1837.12512207031,93,5,5000,1.138
1619783515.38901,1837.5,94,5,5000,1.138
1619783517.98796,1837.12512207031,94,5,5000,1.138
1619783520.60607,1837.12512207031,95,5,5000,1.138
1619783523.23597,1837.12512207031,95,5,5000,1.138
1619783525.83433,1837.12512207031,96,5,5000,1.138
1619783528.42806,1837.5,96,5,5000,1.223
1619783531.02403,1837.12512207031,97,5,5000,1.223
1619783533.6197,1837.12512207031,97,5,5000,1.223
1619783536.22324,1837.12512207031,98,5,5000,1.223
1619783538.81615,1837.12512207031,98,5,5000,1.223
1619783541.41246,1837.12512207031,99,5,5000,1.223
1619783544.01682,1837.12512207031,99,5,5000,1.222
1619783546.61026,1837.12512207031,100,5,5000,1.222
1619783549.20704,1837.12512207031,100,5,5000,1.222
1619783551.8007,1837.12512207031,101,5,5000,1.222
1619783554.40143,1837.12512207031,101,5,5000,1.222
1619783557.00087,1837.12512207031,102,5,5000,1.222
1619783559.58584,1837.12512207031,103,5,5000,1.307
1619783562.19641,1837.12512207031,103,5,5000,1.307
1619783564.78784,1837.12512207031,104,5,5000,1.306
1619783567.38352,1837.12512207031,104,5,5000,1.306
1619783569.98289,1837.12512207031,105,5,5000,1.306
1619783572.57973,1837.12512207031,105,5,5000,1.306
1619783575.17888,1837.12512207031,106,5,5000,1.306
1619783577.77256,1837.12512207031,106,5,5000,1.306
1619783580.37198,1836.74987792969,107,5,5000,1.306
1619783582.9731,1837.12512207031,107,5,5000,1.306
1619783585.56829,1836.74987792969,108,5,5000,1.386
1619783588.16611,1837.12512207031,108,5,5000,1.386
1619783590.76201,1836.74987792969,109,5,5000,1.386
1619783593.35606,1836.74987792969,109,5,5000,1.385
1619783595.95193,1836.74987792969,110,5,5000,1.385
1619783598.54917,1836.74987792969,110,5,5000,1.385
1619783601.15134,1836.74987792969,111,5,5000,1.385
1619783603.74868,1836.74987792969,111,5,5000,1.384
1619783606.35725,1836.74987792969,112,5,5000,1.384
1619783608.98793,1836.74987792969,112,5,5000,1.384
1619783611.58217,1836.74987792969,113,5,5000,1.384
1619783614.18622,1836.74987792969,113,5,5000,1.469
1619783616.78467,1836.74987792969,114,5,5000,1.469
1619783619.3742,1836.74987792969,114,5,5000,1.469
1619783621.97567,1836.74987792969,115,5,5000,1.468
1619783624.57068,1836.74987792969,116,5,5000,1.468
1619783627.17208,1836.74987792969,116,5,5000,1.468
1619783629.7634,1836.74987792969,117,5,5000,1.468
1619783632.36485,1836.74987792969,117,5,5000,1.468
1619783634.9609,1836.74987792969,118,5,5000,1.468
1619783637.55773,1836.74987792969,118,5,5000,1.468
1619783640.15564,1836.37487792969,119,5,5000,1.468
1619783642.7513,1836.74987792969,119,5,5000,1.468
1619783645.34564,1836.74987792969,120,5,5000,1.549
1619783647.94661,1836.74987792969,120,5,5000,1.549
1619783650.55283,1836.74987792969,121,5,5000,1.549
1619783653.14471,1836.74987792969,121,5,5000,1.548
1619783655.73707,1836.37487792969,122,5,5000,1.548
1619783658.33762,1836.74987792969,122,5,5000,1.548
1619783660.93289,1836.74987792969,123,5,5000,1.548
1619783663.52792,1836.74987792969,123,5,5000,1.548
1619783666.15318,1836.37487792969,124,5,5000,1.548
1619783668.77523,1836.37487792969,124,5,5000,1.548
1619783671.3729,1836.74987792969,125,5,5000,1.629
1619783673.96857,1836.37487792969,125,5,5000,1.629
1619783676.56253,1836.37487792969,126,5,5000,1.629
1619783679.16078,1836.37487792969,126,5,5000,1.629
1619783681.75613,1836.37487792969,127,5,5000,1.629
1619783684.35693,1836.37487792969,127,5,5000,1.629
1619783686.95371,1836.37487792969,128,5,5000,1.629
1619783689.54475,1836.37487792969,129,5,5000,1.628
1619783692.15426,1836.37487792969,129,5,5000,1.628
1619783694.74359,1836.37487792969,130,5,5000,1.628
1619783697.34026,1836.37487792969,130,5,5000,1.628
1619783699.93808,1836.37487792969,131,5,5000,1.709
1619783702.53465,1836.37487792969,131,5,5000,1.709
1619783705.13672,1836.37487792969,132,5,5000,1.709
1619783707.72895,1836.37487792969,132,5,5000,1.709
1619783710.31824,1836.37487792969,133,5,5000,1.709
1619783712.92553,1836.37487792969,133,5,5000,1.709
1619783715.52092,1836.37487792969,134,5,5000,1.709
1619783718.11769,1836.37487792969,134,5,5000,1.708
1619783720.71931,1836.37487792969,135,5,5000,1.708
1619783723.31519,1836.37487792969,135,5,5000,1.792
1619783725.90926,1836.37487792969,136,5,5000,1.789
1619783728.50721,1836.37487792969,136,5,5000,1.789
1619783731.1044,1836,137,5,5000,1.789
1619783733.70097,1836.37487792969,137,5,5000,1.789
1619783736.29507,1836.37487792969,138,5,5000,1.789
1619783738.89531,1836.37487792969,138,5,5000,1.789
1619783741.49489,1836.37487792969,139,5,5000,1.789
1619783744.09181,1836,139,5,5000,1.789
1619783746.68354,1836,140,5,5000,1.789
1619783749.28654,1836.37487792969,140,5,5000,1.788
1619783751.88059,1836,141,5,5000,1.788
1619783754.47816,1836,141,5,5000,1.788
1619783757.09062,1836.37487792969,142,5,5000,1.87
1619783759.72214,1836.37487792969,143,5,5000,1.87
1619783762.32172,1836.37487792969,143,5,5000,1.87
1619783764.92216,1836,144,5,5000,1.87
1619783767.5133,1836,144,5,5000,1.87
1619783770.13947,1836,145,5,5000,1.87
1619783772.7584,1836,145,5,5000,1.869
1619783775.35346,1836,146,5,5000,1.869
1619783777.95319,1836,146,5,5000,1.869
1619783780.56199,1836,147,5,5000,1.869
1619783783.19859,1836,147,5,5000,1.869
1619783785.79268,1836,148,5,5000,1.95
1619783788.38953,1836.37487792969,148,5,5000,1.95
1619783790.9862,1836,149,5,5000,1.95
1619783793.58422,1836,149,5,5000,1.95
1619783796.1968,1836,150,5,5000,1.95
1619783798.82848,1836,150,5,5000,1.949
1619783801.42872,1836,151,5,5000,1.949
1619783804.02619,1836,151,5,5000,1.949
1619783806.62028,1836,152,5,5000,1.926
1619783809.21817,1836,152,5,5000,1.945
1619783811.81447,1836,153,5,5000,1.947
1619783814.41181,1836,153,5,5000,2.032
1619783817.01184,1836,154,5,5000,2.032
1619783819.6148,1836,155,5,5000,2.032
1619783822.20416,1836,155,5,5000,2.032
1619783824.80249,1835.625,156,5,5000,2.032
1619783827.39997,1836,156,5,5000,2.032
1619783830.00139,1835.625,157,5,5000,2.03
1619783832.59148,1835.625,157,5,5000,2.03
1619783835.19275,1836,158,5,5000,2.03
1619783837.78643,1835.625,158,5,5000,2.031
1619783840.37823,1835.625,159,5,5000,2.112
1619783843.01328,1836,159,5,5000,2.112
1619783845.62368,1835.625,160,5,5000,2.111
1619783848.22389,1835.625,160,5,5000,2.111
1619783850.82244,1835.625,161,5,5000,2.112
1619783853.41418,1835.625,161,5,5000,2.111
1619783856.01555,1835.625,162,5,5000,2.111
1619783858.62544,1835.625,162,5,5000,2.111
1619783861.26343,1835.625,163,5,5000,2.111
1619783863.8583,1835.625,163,5,5000,2.111
1619783866.45178,1835.625,164,5,5000,2.11
1619783869.05077,1835.625,164,5,5000,2.193
1619783871.64666,1835.625,165,5,5000,2.193
1619783874.24719,1835.625,165,5,5000,2.193
1619783876.84257,1835.625,166,5,5000,2.191
1619783879.44311,1835.625,166,5,5000,2.192
1619783882.0368,1835.625,167,5,5000,2.192
1619783884.63211,1835.625,168,5,5000,2.192
1619783887.18331,1835.625,168,5,5000,2.192
1619783889.77944,1835.625,169,5,5000,2.192
1619783892.36075,1835.625,169,5,5000,2.192
1619783894.97274,1835.625,170,5,5000,2.273
1619783897.58552,1835.625,170,5,5000,2.273
1619783900.22307,1835.625,171,5,5000,2.272
1619783902.81516,1835.625,171,5,5000,2.272
1619783905.41016,1835.25,172,5,5000,2.272
1619783908.01094,1835.625,172,5,5000,2.272
1619783910.61618,1835.625,173,5,5000,2.272
1619783913.25695,1835.625,173,5,5000,2.272
1619783915.84808,1835.625,174,5,5000,2.272
1619783918.44256,1835.25,174,5,5000,2.272
1619783921.0467,1835.25,175,5,5000,2.272
1619783923.65153,1835.625,175,5,5000,2.271
1619783926.29359,1835.625,176,5,5000,2.352
1619783928.88579,1835.625,176,5,5000,2.352
1619783931.48136,1835.625,177,5,5000,2.352
1619783934.07927,1835.625,177,5,5000,2.352
1619783936.67542,1835.625,178,5,5000,2.352
1619783939.27577,1835.625,178,5,5000,2.352
1619783941.86963,1835.25,179,5,5000,2.352
1619783944.46949,1835.25,179,5,5000,2.352
1619783947.06368,1835.25,180,5,5000,2.352
1619783949.67208,1835.25,181,5,5000,2.351
1619783952.31174,1835.25,181,5,5000,2.351
1619783954.9047,1835.25,182,5,5000,2.433
1619783957.49965,1835.25,182,5,5000,2.433
1619783960.10232,1835.625,183,5,5000,2.433
1619783962.70985,1835.25,183,5,5000,2.432
1619783965.37601,1835.25,184,5,5000,2.432
1619783967.99447,1835.25,184,5,5000,2.432
1619783970.58888,1835.25,185,5,5000,2.432
1619783973.18291,1835.25,185,5,5000,2.432
1619783975.78082,1835.25,186,5,5000,2.432
1619783978.37407,1835.25,186,5,5000,2.432
1619783980.9758,1835.25,187,5,5000,2.432
1619783983.57024,1835.25,187,5,5000,2.513
1619783986.17343,1835.25,188,5,5000,2.513
1619783988.76363,1835.25,188,5,5000,2.513
1619783991.36685,1835.25,189,5,5000,2.513
1619783993.95921,1835.25,189,5,5000,2.513
1619783996.55851,1835.25,190,5,5000,2.513
1619783999.15699,1834.875,190,5,5000,2.512
1619784001.77055,1835.25,191,5,5000,2.512
1619784004.40538,1835.25,191,5,5000,2.512
